date,temperature_2m_max,temperature_2m_min,precipitation_sum,shortwave_radiation_sum,wind_speed_10m_max,relative_humidity_2m_mean
2025-03-08,12.500,5.000,0.500,9.020,9.100,85
2025-03-09,14.200,6.800,0.400,9.090,8.300,82
2025-03-10,15.500,5.800,0.400,8.690,7.300,82
2025-03-11,16.200,9.800,1.500,9.550,10.300,84
2025-03-12,17.900,10.300,0.300,13.850,15.700,70
2025-03-13,16.100,10.200,0.300,9.010,8.000,77
2025-03-14,16.100,10.700,5.300,8.180,11.500,84
2025-03-15,14.500,9.800,3.600,9.030,16.600,71
2025-03-16,10.900,5.400,1.100,3.910,13.500,70
2025-03-17,8.700,3.900,1.900,4.740,7.300,86
2025-03-18,12.100,5.400,0.200,5.920,6.100,77
2025-03-19,16.100,3.700,0.000,16.020,7.300,76
2025-03-20,16.800,4.400,0.300,12.650,7.500,77
2025-03-21,18.900,3.200,0.000,19.370,7.300,70
2025-03-22,18.600,6.900,0.000,11.310,6.600,73
2025-03-23,22.000,9.700,0.300,16.620,12.800,67
2025-03-24,23.400,6.700,0.000,20.310,9.400,69
2025-03-25,25.600,7.600,0.000,20.740,6.800,72
2025-03-26,29.000,9.900,0.000,20.630,11.500,65
2025-03-27,27.300,14.400,0.000,20.480,22.000,38
2025-03-28,14.900,8.900,0.000,10.980,19.500,30
2025-03-29,12.800,7.400,0.000,12.610,17.400,44
2025-03-30,12.900,5.400,3.500,9.220,10.400,68
2025-03-31,9.600,6.500,2.100,3.850,6.500,85
2025-04-01,16.700,6.900,2.200,10.590,11.500,77
2025-04-02,19.900,7.300,0.700,20.040,10.700,66
2025-04-03,22.300,10.700,0.300,16.060,9.300,63
2025-04-04,23.900,12.200,2.700,13.540,15.100,76
2025-04-05,19.300,13.000,3.000,5.360,17.100,75
2025-04-06,20.900,12.000,0.200,14.650,10.800,77
2025-04-07,24.700,10.100,0.000,18.690,6.900,72
2025-04-08,27.000,12.500,0.000,20.500,9.300,67
2025-04-09,28.900,15.000,0.100,20.060,9.800,60
2025-04-10,30.000,17.300,0.400,18.010,7.700,61
2025-04-11,25.900,17.900,6.700,7.220,24.500,72
2025-04-12,18.000,12.300,10.300,8.420,19.600,71
2025-04-13,25.200,11.300,0.000,22.000,9.700,64
